,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2188,08/10/2012,11.7,11.99,10.42,11.62,2885.957812,31964.19009,11.07576485
2189,07/10/2012,12.39,12.45,11.52,11.71,3262.847507,39134.37059,11.99393183
2190,06/10/2012,12.51,12.6,12.06,12.39,1640.41685,20370.96776,12.4181654
2191,05/10/2012,12.61,12.7,11.5,12.5,5459.560688,67349.98882,12.33615535
2192,04/10/2012,12.9,12.9,12.51,12.57,3211.886001,40800.14183,12.70286113
2193,03/10/2012,12.63,12.99,12.45,12.9,4948.455672,63268.33502,12.7854707
2194,02/10/2012,12.2,12.7,12.14,12.64,4634.41771,57712.67964,12.45305953
2195,01/10/2012,12.21,12.27,11.6,12.14,3151.927758,37889.91871,12.02118882
2196,30/09/2012,12.2,12.28,12.17,12.22,173.2142458,2111.592693,12.19064104
2197,29/09/2012,12.28,12.28,12.12,12.28,584.1540614,7132.499683,12.20996335
2198,28/09/2012,12.21,12.28,11.53,12.28,2842.622878,34197.62398,12.03030632
2199,27/09/2012,12.2,12.38,11.84,12.22,3306.145463,40040.3085,12.11087321
2200,26/09/2012,11.8,12.2,11.53,12.2,3038.105097,36547.16472,12.02959198
2201,25/09/2012,11.9,12.18,11.56,11.75,3057.44986,36342.38724,11.8865031
2202,24/09/2012,11.99,11.99,11.69,11.9,1523.19954,18068.24689,11.86203541
2203,23/09/2012,12.11,12.11,11.79,11.99,1084.462743,12907.57943,11.90228019
2204,22/09/2012,12.14,12.25,11.97,11.97,818.0470257,9870.666028,12.06613522
2205,21/09/2012,12.29,12.35,12.01,12.19,1990.390172,24224.41047,12.17068433
2206,20/09/2012,12.44,12.66,12.28,12.28,767.9339103,9544.7772,12.4291649
2207,19/09/2012,11.9,12.5,11.9,12.32,1251.583482,15406.22561,12.30938714
2208,18/09/2012,11.85,12.28,11.67,11.91,3735.017729,44344.02281,11.87250665
2209,17/09/2012,11.75,11.88,11.58,11.85,689.9409029,8097.339385,11.73627966
2210,16/09/2012,11.63,11.8,11.53,11.75,1287.406252,15018.68289,11.66584585
2211,15/09/2012,11.6,11.65,11.35,11.63,594.7939548,6868.334355,11.54741789
2212,14/09/2012,11.26,11.7,11.05,11.5,2127.294354,24113.83863,11.33544993
2213,13/09/2012,11.17,11.42,10.98,11.3,2138.980773,24097.66734,11.2659579
2214,12/09/2012,11.04,11.14,10.75,11.14,2414.687533,26603.77909,11.0174831
2215,11/09/2012,10.95,11.04,10.38,11.04,4794.963589,51749.35332,10.79243927
2216,10/09/2012,10.85,11.08,10.74,10.95,2492.060908,27171.81441,10.90335084
2217,09/09/2012,10.97,11.04,10.84,10.98,1216.124719,13256.25616,10.90040845
2218,08/09/2012,10.98,11.11,10.3,10.97,1355.12941,14748.68677,10.88360024
2219,07/09/2012,11.03,11.1,10.83,11.03,1351.770112,14879.13098,11.007146
2220,06/09/2012,10.9,11.15,10.68,11.02,3296.232115,35837.38667,10.87222787
2221,05/09/2012,10.38,10.99,10.12,10.99,1870.389031,19601.41586,10.47986036
2222,04/09/2012,10.36,10.5,10.14,10.36,2649.659909,27351.46849,10.32263363
